#metadataBlock	name	dataverseAlias	displayName												
	archaeology-nlSubjectABRcomplex	Infrastructuur - Haven	IHAV	56											
	archaeology-nlSubjectABRcomplex	Infrastructuur - Kanaal/vaarweg	IKAN	57											
	archaeology-nlSubjectABRcomplex	Infrastructuur - Percelering/verkaveling	IPER	58											
	archaeology-nlSubjectABRcomplex	Infrastructuur - Sluis	ISLU	59											
	archaeology-nlSubjectABRcomplex	Infrastructuur - Steiger	ISTE	60											
	archaeology-nlSubjectABRcomplex	Infrastructuur - Veenweg/veenbrug	IVW	61											
	archaeology-nlSubjectABRcomplex	Infrastructuur - Waterweg (natuurlijk)	IWAT	62											
	archaeology-nlSubjectABRcomplex	Infrastructuur - Weg	IWEG	63											
	archaeology-nlSubjectABRcomplex	Infrastructuur, onbepaald	IX	64											
	archaeology-nlSubjectABRcomplex	Nederzetting - Basiskamp/basisnederzetting	NBAS	65											
	archaeology-nlSubjectABRcomplex	Nederzetting - Borg/stins/versterkt huis	NVB	66											
	archaeology-nlSubjectABRcomplex	Nederzetting - Extractiekamp/-nederzetting	NEXT	67											
	archaeology-nlSubjectABRcomplex	Nederzetting - Havezathe/ridderhofstad	NVH	68											
	archaeology-nlSubjectABRcomplex	Nederzetting - Huisplaats, onverhoogd	NHP	69											
	archaeology-nlSubjectABRcomplex	Nederzetting - Huisterp	NHT	70											
	archaeology-nlSubjectABRcomplex	Nederzetting - Kampdorp	NKD	71											
	archaeology-nlSubjectABRcomplex	Nederzetting - Moated site	NMS	72											
	archaeology-nlSubjectABRcomplex	Nederzetting - Romeins villa(complex)	NRV	73											
	archaeology-nlSubjectABRcomplex	Nederzetting - Stad	NS	74											
	archaeology-nlSubjectABRcomplex	Nederzetting - Terp/wierde	NT	75											
	archaeology-nlSubjectABRcomplex	Nederzetting - Wegdorp	NWD	76											
	archaeology-nlSubjectABRcomplex	Nederzetting, onbepaald	NX	77											
	archaeology-nlSubjectABRcomplex	Religie - Cultusplaats/heiligdom/tempel	RCP	78											
	archaeology-nlSubjectABRcomplex	Religie - Kapel	RKAP	79											
	archaeology-nlSubjectABRcomplex	Religie - Kerk	RKER	80											
	archaeology-nlSubjectABRcomplex	Religie - Klooster(complex)	RKLO	81											
	archaeology-nlSubjectABRcomplex	Religie, onbepaald	RX	82											
	archaeology-nlSubjectABRcomplex	Versterking - Kasteel	VK	83											
	archaeology-nlSubjectABRcomplex	Versterking - Landweer	VLW	84											
	archaeology-nlSubjectABRcomplex	Versterking - Legerplaats	VLP	85											
	archaeology-nlSubjectABRcomplex	Versterking - Motte/kasteelheuvel/vliedberg	VKM	86											
	archaeology-nlSubjectABRcomplex	Versterking - Schans	VSCH	87											
	archaeology-nlSubjectABRcomplex	Versterking - Wachtpost	VWP	88											
	archaeology-nlSubjectABRcomplex	Versterking - Wal-/vluchtburcht	VWB	89											
	archaeology-nlSubjectABRcomplex	Versterking - Wal/omwalling	VWAL	90											
	archaeology-nlSubjectABRcomplex	Versterking - Waterburcht	VKW	91											
	archaeology-nlSubjectABRcomplex	Versterking, onbepaald	VX	92											
	archaeology-nlSubjectABRcomplex	Onbekend	XXX	93											
	archaeology-nlTemporalABRperiod	Paleolithicum: tot 8800 vC	PALEO	0											
	archaeology-nlTemporalABRperiod	Paleolithicum vroeg: tot 300000 C14	PALEOV	1											
	archaeology-nlTemporalABRperiod	Paleolithicum midden: 300000 - 35000 C14	PALEOM	2											
	archaeology-nlTemporalABRperiod	Paleolithicum laat: 35000 C14 - 8800 vC	PALEOL	3											
	archaeology-nlTemporalABRperiod	Paleolithicum laat A: 35000 - 18000 C14	PALEOLA	4											
	archaeology-nlTemporalABRperiod	Paleolithicum laat B: 18000 C14 -8800 vC	PALEOB	5											
	archaeology-nlTemporalABRperiod	Mesolithicum: 8800 - 4900 vC	MESO	6											
	archaeology-nlTemporalABRperiod	Mesolithicum vroeg: 8800 - 7100 vC	MESOV	7											
	archaeology-nlTemporalABRperiod	Mesolithicum midden: 7100 - 6450 vC	MESOM	8											
	archaeology-nlTemporalABRperiod	Mesolithicum laat: 6450 -4900 vC	MESOL	9											
	archaeology-nlTemporalABRperiod	Neolithicum: 5300 - 2000 vC	NEO	10											
	archaeology-nlTemporalABRperiod	Neolithicum vroeg: 5300 - 4200 vC	NEOV	11											
	archaeology-nlTemporalABRperiod	Neolithicum vroeg A: 5300 - 4900 vC	NEOVA	12											
	archaeology-nlTemporalABRperiod	Neolithicum vroeg B: 4900 - 4200 vC	NEOVB	13											
	archaeology-nlTemporalABRperiod	Neolithicum midden: 4200 - 2850 vC	NEOM	14											
	archaeology-nlTemporalABRperiod	Neolithicum midden A: 4200 - 3400 vC	NEOMA	15											
	archaeology-nlTemporalABRperiod	Neolithicum midden B: 3400 - 2850 vC	NEOMB	16											
	archaeology-nlTemporalABRperiod	Neolithicum laat: 2850 - 2000 vC	NEOL	17											
	archaeology-nlTemporalABRperiod	Neolithicum laat A: 2850 - 2450 vC	NEOLA	18											
	archaeology-nlTemporalABRperiod	Neolithicum laat B: 2450 - 2000 vC	NEOLB	19											
	archaeology-nlTemporalABRperiod	Bronstijd: 2000 - 800 vC	BRONS	20											
	archaeology-nlTemporalABRperiod	Bronstijd vroeg: 2000 - 1800 vC	BRONSV	21											
	archaeology-nlTemporalABRperiod	Bronstijd midden: 1800 - 1100 vC	BRONSM	22											
	archaeology-nlTemporalABRperiod	Bronstijd midden A: 1800 - 1500 vC	BRONSMA	23											
	archaeology-nlTemporalABRperiod	Bronstijd midden B: 1500 - 1100 vC	BRONSMB	24											
	archaeology-nlTemporalABRperiod	Bronstijd laat: 1100 - 800 vC	BRONSL	25											
	archaeology-nlTemporalABRperiod	IJzertijd: 800 - 12 vC	IJZ	26											
	archaeology-nlTemporalABRperiod	IJzertijd vroeg: 800 - 500 vC	IJZV	27											
	archaeology-nlTemporalABRperiod	IJzertijd midden: 500 - 250 vC	IJZM	28											
	archaeology-nlTemporalABRperiod	IJzertijd laat: 250 - 12 vC	IJZL	29											
	archaeology-nlTemporalABRperiod	Romeinse tijd: 12 vC - 450 nC	ROM	30											
	archaeology-nlTemporalABRperiod	Romeinse tijd vroeg: 12 vC - 70 nC	ROMV	31											
	archaeology-nlTemporalABRperiod	Romeinse tijd vroeg A: 12 vC - 25 nC	ROMVA	32											
	archaeology-nlTemporalABRperiod	Romeinse tijd vroeg B: 25 - 70 nC	ROMVB	33											
	archaeology-nlTemporalABRperiod	Romeinse tijd midden: 70 - 270 nC	ROMM	34											
	archaeology-nlTemporalABRperiod	Romeinse tijd midden A: 70 - 150 nC	ROMMA	35											
	archaeology-nlTemporalABRperiod	Romeinse tijd midden B: 150 - 270 nC	ROMMB	36											
	archaeology-nlTemporalABRperiod	Romeinse tijd laat: 270 - 450 nC	ROML	37											
	archaeology-nlTemporalABRperiod	Romeinse tijd laat A: 270 - 350 nC	ROMLA	38											
	archaeology-nlTemporalABRperiod	Romeinse tijd laat B: 350 - 450 nC	ROMLB	39											
	archaeology-nlTemporalABRperiod	Middeleeuwen: 450 - 1500 nC	XME	40											
	archaeology-nlTemporalABRperiod	Middeleeuwen vroeg: 450 - 1050 nC	VME	41											
	archaeology-nlTemporalABRperiod	Middeleeuwen vroeg A: 450 - 525 nC	VMEA	42											
	archaeology-nlTemporalABRperiod	Middeleeuwen vroeg B: 525 - 725 nC	VMEB	43											
	archaeology-nlTemporalABRperiod	Middeleeuwen vroeg C: 725 - 900 nC	VMEC	44											
	archaeology-nlTemporalABRperiod	Middeleeuwen vroeg D: 900 - 1050 nC	VMED	45											
	archaeology-nlTemporalABRperiod	Middeleeuwen laat: 1050 - 1500 nC	LME	46											
	archaeology-nlTemporalABRperiod	Middeleeuwen laat A: 1050 - 1250 nC	LMEA	47											
	archaeology-nlTemporalABRperiod	Middeleeuwen laat B: 1250 - 1500 nC	LMEB	48											
	archaeology-nlTemporalABRperiod	Nieuwe tijd: 1500 - heden	NT	49											
	archaeology-nlTemporalABRperiod	Nieuwe tijd A: 1500 - 1650 nC	NTA	50											
	archaeology-nlTemporalABRperiod	Nieuwe tijd B: 1650 - 1850 nC	NTB	51											
	archaeology-nlTemporalABRperiod	Nieuwe tijd C: 1850 - heden	NTC	52											
	archaeology-nlTemporalABRperiod	Onbekend	XXX	53											
